epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5041,0.99701,1.51612,1.36424,0.60565,0.61547,0.59614,0.37503,1.24831,2.12526,1.61552,0.000663121,0.000663121,0.000663121
2,52.5049,1.06155,1.18847,1.41172,0.67356,0.56858,0.61408,0.38366,1.35944,1.71489,1.71133,0.00126396,0.00126396,0.00126396
3,76.8068,1.08521,1.12695,1.43217,0.8078,0.61313,0.70825,0.46345,1.25935,1.47919,1.6207,0.0017988,0.0017988,0.0017988
4,100.343,1.03771,1.00768,1.40337,0.83354,0.65182,0.74216,0.50673,1.20385,1.21303,1.5844,0.001703,0.001703,0.001703
5,123.94,0.98162,0.90742,1.35571,0.83359,0.6483,0.75378,0.51327,1.22116,1.12378,1.57806,0.001604,0.001604,0.001604
6,147.394,0.94498,0.85416,1.32105,0.86776,0.66589,0.76781,0.54913,1.08495,1.00018,1.47671,0.001505,0.001505,0.001505
7,170.928,0.92101,0.82915,1.30361,0.88016,0.71463,0.81532,0.5888,1.05415,0.90871,1.42392,0.001406,0.001406,0.001406
8,194.378,0.92652,0.80762,1.30669,0.88735,0.73877,0.84088,0.62773,0.95558,0.83959,1.3408,0.001307,0.001307,0.001307
9,217.898,0.88462,0.76884,1.27527,0.85256,0.7163,0.81671,0.60937,1.00819,0.87067,1.37228,0.001208,0.001208,0.001208
10,241.439,0.86876,0.72323,1.261,0.88209,0.76905,0.85765,0.65212,0.92532,0.75165,1.32418,0.001109,0.001109,0.001109
11,265.688,0.78839,0.688,1.26341,0.91699,0.71864,0.84282,0.62859,0.97583,0.80586,1.32751,0.00101,0.00101,0.00101
12,288.891,0.76654,0.65659,1.23803,0.87605,0.77056,0.85401,0.66198,0.9207,0.73124,1.3022,0.000911,0.000911,0.000911
13,312.047,0.73071,0.5875,1.2035,0.91837,0.75183,0.85856,0.65694,0.88805,0.7414,1.27355,0.000812,0.000812,0.000812
14,335.144,0.71287,0.5766,1.19172,0.89594,0.77724,0.87452,0.67124,0.87284,0.72548,1.25569,0.000713,0.000713,0.000713
15,358.31,0.69125,0.53838,1.16731,0.91293,0.78312,0.88065,0.68373,0.87189,0.65724,1.24923,0.000614,0.000614,0.000614
16,381.448,0.65631,0.51436,1.14306,0.93448,0.76319,0.8785,0.68847,0.86193,0.65352,1.22597,0.000515,0.000515,0.000515
17,404.725,0.64598,0.48874,1.1387,0.88896,0.8136,0.88477,0.69729,0.84921,0.63312,1.22249,0.000416,0.000416,0.000416
18,427.875,0.6279,0.45908,1.12152,0.91756,0.80891,0.89565,0.70045,0.85607,0.60798,1.22537,0.000317,0.000317,0.000317
19,450.889,0.60222,0.43536,1.10676,0.92164,0.81243,0.89734,0.71601,0.81804,0.5931,1.1954,0.000218,0.000218,0.000218
20,473.889,0.59305,0.4188,1.09317,0.95402,0.78898,0.90345,0.71564,0.81217,0.58259,1.18591,0.000119,0.000119,0.000119
