epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.04908,1.42774,0.93108,1.15932,0.86005,0.88901,0.93814,0.58338,1.30243,0.70722,1.06617,0.000647059,0.000647059,0.000647059
2,13.3521,1.27212,0.75221,1.07972,0.88485,0.87752,0.95167,0.6192,1.24486,0.66859,1.04948,0.00130072,0.00130072,0.00130072
3,18.1575,1.23992,0.72503,1.0651,0.85743,0.89861,0.93683,0.57498,1.32747,0.68928,1.06529,0.00194118,0.00194118,0.00194118
4,23.9118,1.22109,0.72136,1.04877,0.8879,0.86553,0.94091,0.60939,1.25097,0.68769,1.05591,0.0019406,0.0019406,0.0019406
5,28.4966,1.18704,0.70598,1.0411,0.89865,0.8794,0.94891,0.58278,1.35892,0.67432,1.09816,0.0019208,0.0019208,0.0019208
6,33.1359,1.18103,0.6931,1.04238,0.88513,0.89755,0.95154,0.65836,1.11728,0.65449,1.01911,0.001901,0.001901,0.001901
7,37.831,1.18047,0.69365,1.04261,0.87837,0.88635,0.94284,0.62741,1.17527,0.70296,1.03621,0.0018812,0.0018812,0.0018812
8,42.5017,1.1758,0.68952,1.04643,0.86684,0.90822,0.95427,0.6656,1.09023,0.64482,1.01002,0.0018614,0.0018614,0.0018614
9,47.2108,1.15265,0.67462,1.02798,0.84297,0.89007,0.91442,0.60495,1.20216,0.79405,1.04622,0.0018416,0.0018416,0.0018416
10,51.9225,1.15263,0.68109,1.0309,0.88797,0.90288,0.94621,0.64247,1.15169,0.69833,1.02461,0.0018218,0.0018218,0.0018218
11,56.6146,1.17103,0.68021,1.03768,0.87098,0.92102,0.95805,0.63247,1.20654,0.69805,1.04453,0.001802,0.001802,0.001802
12,61.3122,1.14887,0.65854,1.02948,0.86774,0.89541,0.94743,0.63143,1.17392,0.70701,1.02881,0.0017822,0.0017822,0.0017822
13,66.0334,1.16603,0.67504,1.03413,0.88247,0.90547,0.95441,0.63939,1.19069,0.63208,1.03026,0.0017624,0.0017624,0.0017624
14,70.6813,1.14068,0.65534,1.02633,0.86852,0.89648,0.93691,0.65952,1.08727,0.6442,1.00409,0.0017426,0.0017426,0.0017426
15,75.2954,1.10607,0.62938,1.01564,0.90163,0.89861,0.95862,0.6724,1.08932,0.60942,1.01294,0.0017228,0.0017228,0.0017228
16,79.9518,1.11982,0.64159,1.01927,0.90212,0.88047,0.95309,0.66632,1.08972,0.63232,1.01065,0.001703,0.001703,0.001703
17,84.5958,1.12464,0.63205,1.0227,0.88972,0.9041,0.96276,0.62872,1.2243,0.67752,1.04834,0.0016832,0.0016832,0.0016832
18,89.3001,1.14214,0.62679,1.02674,0.88578,0.90075,0.95866,0.68529,1.06066,0.60274,0.99702,0.0016634,0.0016634,0.0016634
19,94.0378,1.1149,0.61424,1.01424,0.89254,0.92187,0.96086,0.69458,1.04357,0.57081,0.99508,0.0016436,0.0016436,0.0016436
20,98.8055,1.11071,0.6125,1.01984,0.86967,0.91155,0.95011,0.64759,1.12659,0.65915,1.01867,0.0016238,0.0016238,0.0016238
21,103.487,1.09405,0.62105,1.01326,0.88917,0.89049,0.95297,0.67463,1.0796,0.60196,1.00823,0.001604,0.001604,0.001604
22,108.204,1.08658,0.6156,1.00804,0.86921,0.92202,0.954,0.67438,1.0792,0.6679,1.00554,0.0015842,0.0015842,0.0015842
23,112.894,1.10293,0.61267,1.01527,0.90822,0.89861,0.95238,0.65524,1.13385,0.60733,1.01716,0.0015644,0.0015644,0.0015644
24,117.582,1.09485,0.60283,1.01172,0.89191,0.91584,0.9554,0.68151,1.06544,0.60097,1.00163,0.0015446,0.0015446,0.0015446
25,122.301,1.09285,0.61262,1.00761,0.91576,0.8933,0.96501,0.67314,1.12427,0.56836,1.01621,0.0015248,0.0015248,0.0015248
