epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,127.022,1.07352,0.60124,0.99657,0.90518,0.90715,0.96095,0.69898,1.03998,0.56454,0.99224,0.001505,0.001505,0.001505
27,131.843,1.06665,0.58185,0.99801,0.89256,0.91035,0.95235,0.68255,1.05145,0.60309,0.99619,0.0014852,0.0014852,0.0014852
28,136.523,1.07428,0.5939,1.00032,0.90821,0.91996,0.96557,0.68879,1.05692,0.56852,0.99446,0.0014654,0.0014654,0.0014654
29,141.292,1.07185,0.59042,0.9952,0.9102,0.90861,0.96405,0.69777,1.0483,0.55766,0.99449,0.0014456,0.0014456,0.0014456
30,146.189,1.06339,0.577,1.00125,0.90685,0.90389,0.95811,0.66874,1.14023,0.57854,1.02276,0.0014258,0.0014258,0.0014258
31,150.869,1.07177,0.59431,0.99578,0.91528,0.92316,0.97165,0.66508,1.13852,0.54909,1.01333,0.001406,0.001406,0.001406
32,155.438,1.05987,0.58275,0.994,0.92415,0.89114,0.96445,0.68931,1.06836,0.55435,0.99664,0.0013862,0.0013862,0.0013862
33,160.079,1.06563,0.58878,0.99807,0.90492,0.89648,0.95947,0.69198,1.05427,0.58373,0.99026,0.0013664,0.0013664,0.0013664
34,164.712,1.07674,0.5862,0.99067,0.91134,0.91053,0.96742,0.63992,1.21172,0.58643,1.04102,0.0013466,0.0013466,0.0013466
35,169.284,1.0469,0.56376,0.99211,0.91271,0.90385,0.96312,0.66368,1.13749,0.58774,1.01888,0.0013268,0.0013268,0.0013268
36,173.931,1.0467,0.57792,0.99243,0.90507,0.89007,0.95271,0.68387,1.05614,0.60105,0.99728,0.001307,0.001307,0.001307
37,178.534,1.05499,0.57024,1.00109,0.91006,0.90395,0.95681,0.68524,1.06872,0.57516,0.99878,0.0012872,0.0012872,0.0012872
38,183.19,1.04293,0.5693,0.98589,0.87791,0.92209,0.94207,0.67657,1.0552,0.58955,0.99267,0.0012674,0.0012674,0.0012674
39,187.792,1.05614,0.57225,0.99887,0.91207,0.9078,0.96647,0.69755,1.03462,0.56943,0.99157,0.0012476,0.0012476,0.0012476
40,192.399,1.04657,0.5707,0.98989,0.90742,0.89955,0.9635,0.70492,1.03622,0.54626,0.98813,0.0012278,0.0012278,0.0012278
41,196.984,1.0356,0.56308,0.99035,0.89724,0.91325,0.96703,0.68212,1.10082,0.55968,1.00312,0.001208,0.001208,0.001208
42,201.602,1.03025,0.56568,0.99102,0.89673,0.92669,0.97219,0.68101,1.08906,0.55604,1.00409,0.0011882,0.0011882,0.0011882
43,206.166,1.01786,0.55063,0.9908,0.90239,0.91035,0.96189,0.69226,1.05672,0.53892,0.99614,0.0011684,0.0011684,0.0011684
44,210.734,1.01954,0.56061,0.98779,0.92697,0.90765,0.96857,0.69308,1.07209,0.53993,0.99674,0.0011486,0.0011486,0.0011486
45,215.326,1.02666,0.55292,0.97992,0.93267,0.8794,0.96646,0.69899,1.03316,0.53007,0.98079,0.0011288,0.0011288,0.0011288
46,219.971,1.03231,0.55658,0.97999,0.92592,0.90711,0.97064,0.70294,1.04872,0.51399,0.99114,0.001109,0.001109,0.001109
47,224.627,1.01481,0.54365,0.97758,0.92255,0.91355,0.97334,0.69416,1.04083,0.55137,0.98822,0.0010892,0.0010892,0.0010892
48,229.176,1.00528,0.54977,0.97946,0.93817,0.90928,0.97107,0.69551,1.05807,0.52921,0.99304,0.0010694,0.0010694,0.0010694
49,233.766,1.02988,0.54593,0.98667,0.92473,0.91783,0.97,0.7043,1.0173,0.52581,0.98549,0.0010496,0.0010496,0.0010496
50,238.396,1.02826,0.55642,0.98657,0.909,0.91686,0.97042,0.69618,1.05948,0.52779,0.98465,0.0010298,0.0010298,0.0010298
51,243.069,0.99315,0.54032,0.97329,0.9331,0.87834,0.96783,0.71001,1.02838,0.52273,0.98107,0.00101,0.00101,0.00101
52,247.891,1.00001,0.54056,0.97538,0.91234,0.92192,0.96909,0.69199,1.06146,0.54885,0.99103,0.0009902,0.0009902,0.0009902
53,252.787,1.00519,0.53662,0.97632,0.90613,0.90502,0.96483,0.6967,1.04049,0.55885,0.99017,0.0009704,0.0009704,0.0009704
54,257.508,1.01438,0.54502,0.97674,0.92886,0.89434,0.96475,0.70397,1.03211,0.53244,0.98514,0.0009506,0.0009506,0.0009506
55,262.128,1.01497,0.52649,0.97101,0.91641,0.90092,0.96432,0.69881,1.04926,0.5402,0.99405,0.0009308,0.0009308,0.0009308
56,266.805,0.99923,0.5298,0.97254,0.90246,0.91832,0.96692,0.70903,1.03142,0.52654,0.98375,0.000911,0.000911,0.000911
57,271.459,1.00048,0.52928,0.97119,0.90715,0.91676,0.96926,0.7147,1.01212,0.5308,0.98144,0.0008912,0.0008912,0.0008912
58,276.051,0.98759,0.53225,0.97514,0.91151,0.92956,0.96635,0.707,1.02573,0.52231,0.9826,0.0008714,0.0008714,0.0008714
59,280.619,0.9907,0.52427,0.97772,0.9112,0.90898,0.95977,0.70045,1.03323,0.52887,0.98141,0.0008516,0.0008516,0.0008516
60,285.221,1.00313,0.52921,0.97259,0.90729,0.92209,0.96859,0.70152,1.03811,0.54808,0.98386,0.0008318,0.0008318,0.0008318
61,289.756,0.98931,0.51945,0.96822,0.91262,0.91996,0.97124,0.71581,1.00404,0.51023,0.97616,0.000812,0.000812,0.000812
62,294.429,0.98601,0.51375,0.9593,0.9304,0.92209,0.97233,0.72052,1.00314,0.50034,0.9721,0.0007922,0.0007922,0.0007922
63,299.151,0.98357,0.51629,0.96995,0.91747,0.91462,0.96974,0.71782,1.00188,0.53581,0.97498,0.0007724,0.0007724,0.0007724
64,303.766,0.97494,0.51017,0.97333,0.92348,0.90163,0.97115,0.69758,1.05923,0.51514,0.98903,0.0007526,0.0007526,0.0007526
65,308.397,0.98099,0.50683,0.96689,0.91078,0.91889,0.97117,0.71486,1.01949,0.50945,0.97658,0.0007328,0.0007328,0.0007328
66,313.104,0.97401,0.51314,0.96364,0.91755,0.90928,0.96806,0.70898,1.03843,0.52288,0.98741,0.000713,0.000713,0.000713
67,317.826,0.96702,0.50076,0.95395,0.90731,0.92974,0.9693,0.70827,1.03485,0.50538,0.98144,0.0006932,0.0006932,0.0006932
68,322.543,0.96139,0.50303,0.95642,0.9294,0.91316,0.97308,0.71524,1.01354,0.50572,0.97994,0.0006734,0.0006734,0.0006734
69,327.199,0.96809,0.50864,0.96555,0.93375,0.91355,0.97574,0.7213,0.99933,0.50969,0.97583,0.0006536,0.0006536,0.0006536
70,331.957,0.95826,0.50672,0.95551,0.92809,0.90288,0.96986,0.71736,1.0074,0.51237,0.98049,0.0006338,0.0006338,0.0006338
71,336.6,0.98248,0.50986,0.96591,0.91223,0.92316,0.97006,0.71324,1.02131,0.51081,0.98248,0.000614,0.000614,0.000614
72,341.274,0.96696,0.50644,0.95971,0.91713,0.90395,0.96208,0.70555,1.02022,0.51681,0.97929,0.0005942,0.0005942,0.0005942
73,345.931,0.96586,0.50023,0.9556,0.92694,0.91249,0.97213,0.71166,1.02099,0.50863,0.97753,0.0005744,0.0005744,0.0005744
74,350.606,0.96009,0.4948,0.95778,0.92511,0.92529,0.97379,0.71757,1.01351,0.50294,0.97494,0.0005546,0.0005546,0.0005546
75,355.539,0.95133,0.49461,0.95518,0.91526,0.90608,0.96903,0.7193,1.00416,0.50927,0.97042,0.0005348,0.0005348,0.0005348
76,360.321,0.96273,0.49575,0.95705,0.90894,0.92678,0.97427,0.71458,1.00839,0.50158,0.97301,0.000515,0.000515,0.000515
77,364.995,0.95357,0.49004,0.95398,0.93572,0.90181,0.97489,0.72356,1.00834,0.49389,0.9755,0.0004952,0.0004952,0.0004952
78,369.739,0.95725,0.49882,0.94924,0.93165,0.90502,0.97347,0.71805,1.01196,0.50685,0.97685,0.0004754,0.0004754,0.0004754
79,374.361,0.94474,0.49345,0.95588,0.91091,0.90573,0.96769,0.7148,0.99887,0.50919,0.97281,0.0004556,0.0004556,0.0004556
80,379.019,0.94854,0.49108,0.94867,0.92325,0.91148,0.97273,0.72086,1.00486,0.50942,0.97718,0.0004358,0.0004358,0.0004358
81,383.624,0.94247,0.48585,0.95677,0.94429,0.90445,0.973,0.72019,1.01684,0.49856,0.98045,0.000416,0.000416,0.000416
82,388.254,0.94652,0.49325,0.95124,0.91977,0.91569,0.97144,0.72622,0.99216,0.49436,0.97165,0.0003962,0.0003962,0.0003962
83,393.059,0.93675,0.49487,0.95179,0.91147,0.92298,0.97123,0.72018,1.00498,0.51064,0.97404,0.0003764,0.0003764,0.0003764
84,397.659,0.93246,0.48792,0.94985,0.9323,0.91121,0.97194,0.72513,0.9885,0.48995,0.96588,0.0003566,0.0003566,0.0003566
85,402.301,0.93597,0.48634,0.94766,0.91066,0.91996,0.97187,0.72126,0.99603,0.52993,0.9667,0.0003368,0.0003368,0.0003368
86,407.021,0.94779,0.49278,0.94801,0.94032,0.89861,0.97087,0.72109,1.00129,0.48883,0.96966,0.000317,0.000317,0.000317
87,411.814,0.94025,0.48215,0.95126,0.93377,0.91782,0.97416,0.72491,0.99797,0.48604,0.96827,0.0002972,0.0002972,0.0002972
88,416.401,0.93107,0.47458,0.94459,0.9498,0.88841,0.97305,0.72174,0.99451,0.48312,0.96817,0.0002774,0.0002774,0.0002774
89,421.069,0.94064,0.48249,0.94884,0.9368,0.90177,0.97348,0.72313,0.99753,0.49172,0.97218,0.0002576,0.0002576,0.0002576
90,425.626,0.95146,0.47984,0.95441,0.91512,0.92743,0.97369,0.71856,1.00403,0.4819,0.9716,0.0002378,0.0002378,0.0002378
91,431.219,0.91215,0.45312,0.94363,0.90796,0.9349,0.97211,0.71638,1.01684,0.48445,0.97576,0.000218,0.000218,0.000218
92,435.568,0.89842,0.4402,0.94483,0.94217,0.90416,0.97314,0.7169,1.00686,0.48653,0.97209,0.0001982,0.0001982,0.0001982
93,439.91,0.90119,0.43624,0.94419,0.93037,0.91258,0.97149,0.72271,1.00157,0.48384,0.97014,0.0001784,0.0001784,0.0001784
94,444.262,0.90363,0.43695,0.94426,0.91803,0.92038,0.97264,0.72215,0.99558,0.48502,0.97076,0.0001586,0.0001586,0.0001586
95,448.604,0.89058,0.43422,0.9353,0.92951,0.91468,0.97293,0.7215,1.00122,0.4827,0.97116,0.0001388,0.0001388,0.0001388
96,452.953,0.8872,0.4347,0.94065,0.91001,0.93063,0.97329,0.72133,1.00661,0.48081,0.97128,0.000119,0.000119,0.000119
97,457.293,0.88993,0.43388,0.9384,0.91941,0.91782,0.97277,0.72182,1.00694,0.48251,0.97257,9.92e-05,9.92e-05,9.92e-05
98,461.642,0.87954,0.43025,0.93543,0.92565,0.91355,0.97268,0.72253,1.00502,0.4792,0.97249,7.94e-05,7.94e-05,7.94e-05
99,465.97,0.88822,0.43145,0.93874,0.92637,0.91462,0.9734,0.72673,0.99626,0.48057,0.97019,5.96e-05,5.96e-05,5.96e-05
100,470.327,0.89086,0.43365,0.93813,0.92445,0.91249,0.97376,0.72721,0.99574,0.47922,0.96985,3.98e-05,3.98e-05,3.98e-05
